ID,NAME,CAPACITY
1,18 Dorrance Warehouse,15
10,B.U. Central - 725 Comm. Ave.,11
100,Davis Square,25
101,Ball Sq,19
102,Powder House Circle - Nathan Tufts Park,15
103,JFK Crossing at Harvard St. / Thorndike St.,15
104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,19
105,Lower Cambridgeport at Magazine St / Riverside Rd,19
106,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,15
107,Ames St at Main St,19
108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,17
109,West End Park,35
11,Longwood Ave at Binney St,15
110,Harvard University Gund Hall at Quincy St / Kirkland St,15
111,Packard Ave at Powderhouse Blvd,15
112,Clarendon Hill at Broadway,15
113,Andrew T Stop - Dorchester Ave at Dexter St,15
114,Teele Square,15
115,Porter Square Station,19
116,359 Broadway - Broadway at Fayette Street,23
117,Binney St / Sixth St,19
118,Linear Park - Mass. Ave. at Cameron Ave. ,19
119,South Boston Library - 646 E Broadway,15
12,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,26
120,Beacon St at Charles St,19
121,W Broadway at Dorchester St,17
122,Burlington Ave at Brookline Ave,15
124,Curtis Hall - South St at Centre St,15
125,Hyde Square - Barbara St at Centre St,15
126,Egleston Square - Atherton St at Washington St,15
128,E Cottage St at Columbia Rd,15
129,Hayes Square - Vine St at Moulton St,15
13,Boston Medical Center - E Concord St at Harrison Ave,15
130,Uphams Corner,15
131,Jackson Square T Stop,18
133,Green Street T Stop - Green St at Amory St,23
134,Boylston St at Dartmouth St FORMER,15
135,ID Building East,17
136,ID Building West,19
137,Magoun Square at Trum Field,19
138,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,15
139,Dana Park,19
14,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,25
140,Danehy Park,17
141,Kendall Street,17
142,Alewife Station at Russell Field,23
143,EF - North Point Park,23
144,Rogers St & Land Blvd,19
145,Rindge Avenue - O'Neill Library,19
146,Murphy Skating Rink - 1880 Day Blvd,19
149,175 N Harvard St,17
15,Brighton Mills - 370 Western Ave,15
150,State Street at Channel Center,19
151,Surface Rd at India St,19
152,Ink Block - Harrison Ave at Herald St,25
156,Somerville Hospital,15
157,Seaport Blvd at Sleeper St,15
159,S Huntington Ave at Heath St,15
16,Back Bay T Stop - Dartmouth St at Stuart St,19
160,Wentworth Institute of Technology - Huntington Ave at Vancouver St,12
161,W Broadway at D St,20
162,Franklin Park - Seaver St at Humboldt Ave,15
163,The Lawn on D,19
167,Ryan Playground - Dorchester Ave at Harbor View St,15
169,Edwards Playground - Main St at Eden St,19
17,Soldiers Field Park - 111 Western Ave,15
170,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,14
171,Bunker Hill Community College,23
173,Savin Hill T Stop - S Sydney St at Bay St,14
174,Washington St at Brock St,15
175,Brighton Center - Washington St at Cambridge St,16
176,Lesley University,15
177,University Park,19
178,MIT Pacific St at Purrington St,19
179,MIT Vassar St,53
180,Mt Auburn,19
181,Huron Ave At Vassal Lane,19
182,Museum of Science,19
183,Alewife MBTA at Steel Place,19
184,Sidney Research Campus/Erie Street at Waverly,19
185,Third at Binney,15
186,Congress St at Northern Ave,15
187,Cypress St at Clark Playground,15
188,Foss Park,15
189,Kendall T,23
19,Park Dr at Buswell St,15
