start station name,CAPACITY,net_change,available bikes,depletion status
Congress St at Northern Ave,15.0,,,
Harvard Square at Mass Ave/ Dunster,19.0,,,
Harvard Square at Brattle St / Eliot St,15.0,,,
Longwood Ave at Binney St,15.0,,,
Kendall Street,17.0,,,
Charles Circle - Charles St at Cambridge St,19.0,,,
Geiger Gibson Community Health Center,19.0,,,
Inman Square at Springfield St.,25.0,,,
Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,15.0,,,
Cross St at Hanover St,19.0,,,
W Broadway at Dorchester St,17.0,,,
Blossom St at Charles St,15.0,,,
Stuart St at Charles St,18.0,,,
Landmark Center - Brookline Ave at Park Dr,15.0,,,
University Park,19.0,,,
Harvard Law School at Mass Ave / Jarvis St,19.0,,,
Commonwealth Ave at Agganis Way,15.0,,,
Lower Cambridgeport at Magazine St / Riverside Rd,19.0,,,
Seaport Blvd at Sleeper St,15.0,,,
Park Plaza at Charles St S.,19.0,,,
Kenmore Square,26.0,,,
Powder House Circle - Nathan Tufts Park,15.0,,,
MIT Stata Center at Vassar St / Main St,35.0,,,
Lafayette Square at Mass Ave / Main St / Columbia St,15.0,,,
Boylston St at Massachusetts Ave,15.0,,,
Congress St at Sleeper St,15.0,,,
Chinatown Gate Plaza,19.0,,,
Cambridge St at Joy St,15.0,,,
Harvard University Gund Hall at Quincy St / Kirkland St,15.0,,,
Park Dr at Buswell St,15.0,,,
Packard's Corner - Commonwealth Ave at Brighton Ave,27.0,,,
700 Commonwealth Ave.,16.0,,,
Boston Landing,17.0,,,
Chinatown T Stop,19.0,,,
Davis Square,25.0,,,
Commonwealth Ave at Chiswick Rd,19.0,,,
Harvard Ave at Brainerd Rd,15.0,,,
South Station - 700 Atlantic Ave,47.0,,,
Mass Ave T Station,14.0,,,
Sidney Research Campus/Erie Street at Waverly,19.0,,,
Cambridge St - at Columbia St / Webster Ave,15.0,,,
MIT at Mass Ave / Amherst St,27.0,,,
MIT Pacific St at Purrington St,19.0,,,
Broadway St at Mt Pleasant St,19.0,,,
Murphy Skating Rink - 1880 Day Blvd,19.0,,,
Conway Park - Somerville Avenue,23.0,,,
Boston City Hall - 28 State St,25.0,,,
Purchase St at Pearl St,19.0,,,
Shawmut T Stop,19.0,,,
Union Square - Somerville,19.0,,,
Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,17.0,,,
175 N Harvard St,17.0,,,
B.U. Central - 725 Comm. Ave.,11.0,,,
JFK Crossing at Harvard St. / Thorndike St.,15.0,,,
Harvard St at Greene-Rose Heritage Park,19.0,,,
Northeastern University - North Parking Lot,15.0,,,
Tremont St at E Berkeley St,19.0,,,
Harvard University Radcliffe Quadrangle at Shepard St / Garden St,19.0,,,
Deerfield St at Commonwealth Ave,19.0,,,
Third at Binney,15.0,,,
Binney St / Sixth St,19.0,,,
Mugar Way at Beacon St,19.0,,,
Beacon St at Massachusetts Ave,15.0,,,
